mag_r,u-g,g-r,r-i,i-z,z_spec
20.253988,2.049242,1.620459,0.787443,0.479431,0.47363
17.370329,2.097828,1.278768,0.50886,0.298998,0.213887
18.037464,1.609263,1.409948,0.514572,0.338282,0.223538
17.906605,1.650557,1.507885,0.523565,0.306217,0.243587
18.726278,1.342977,1.862043,0.569849,0.374222,0.366724
18.156261,1.73148,1.587355,0.56275,0.345745,0.290525
17.57233,1.95653,1.50959,0.544006,0.370207,0.270684
19.879942,1.181154,1.589249,0.783764,0.400751,0.459457
18.455748,1.568892,1.726875,0.623919,0.322775,0.344246
17.256924,2.157839,1.349583,0.509554,0.368166,0.203013
17.489048,1.932684,1.302259,0.483397,0.31908,0.193707
20.000511,2.061968,1.519697,0.794487,0.317501,0.47386
18.136106,1.89576,1.639916,0.584135,0.37435,0.282376
19.336954,2.086725,1.950573,0.561111,0.388651,0.347028
20.640217,1.594866,1.529404,0.771503,0.270723,0.495368
17.189472,2.045147,1.232035,0.460409,0.323391,0.190357
16.993876,2.195261,1.244877,0.498749,0.339426,0.18553
19.75119,1.703091,1.555365,0.792492,0.432266,0.463104
17.288801,2.03282,1.267418,0.477879,0.372252,0.173245
18.367643,1.504246,1.488445,0.635475,0.303816,0.398248
17.754597,2.142078,1.338016,0.502363,0.331459,0.23839
18.948124,1.971308,1.654779,0.644499,0.355049,0.352821
19.420248,1.781242,1.763552,0.752115,0.369026,0.426779
19.169037,1.409922,1.684298,0.667982,0.398022,0.392328
18.559916,1.897932,1.634447,0.556959,0.409306,0.2836
18.4853,2.14345,1.648874,0.603325,0.27195,0.320753
19.257599,1.82806,1.940756,0.701536,0.36582,0.399513
19.338209,2.163317,1.611223,0.740259,0.396791,0.398897
18.95771,1.985493,1.686546,0.623842,0.323668,0.347523
19.721203,1.995613,1.640905,0.780466,0.408165,0.418087
20.439058,1.250031,1.364561,0.790752,0.436583,0.518929
17.565372,2.145012,1.28026,0.460451,0.358801,0.199092
18.95496,1.057379,1.702236,0.766111,0.39003,0.443055
20.340977,1.498402,1.70591,0.785633,0.495388,0.444067
16.932983,1.956268,1.266438,0.482271,0.358047,0.186617
17.331991,1.920527,1.260633,0.459249,0.348959,0.175468
18.423388,2.13302,1.676407,0.607609,0.343243,0.307084
17.410385,1.925531,1.372297,0.491951,0.29493,0.218157
20.354095,1.285812,1.538702,0.771872,0.396441,0.438125
18.194376,1.922855,1.339239,0.578321,0.332491,0.221563
18.997572,1.4121,1.91498,0.698757,0.428917,0.369913
17.918041,1.900435,1.384369,0.496113,0.337296,0.219987
19.58617,1.816187,1.919249,0.657852,0.33884,0.396907
