mag_r,u-g,g-r,r-i,i-z,z_spec
19.095181,1.690107,1.852505,0.606432,0.331179,0.368494
19.018316,1.519516,1.70927,0.604389,0.314533,0.370505
19.42156,1.948154,1.741098,0.672216,0.444538,0.378429
19.814791,1.547291,1.411674,0.73465,0.290113,0.373837
17.265799,1.907247,1.212746,0.472647,0.364161,0.1837
18.061104,1.45125,1.326767,0.577482,0.376486,0.243586
19.020042,2.003462,1.753397,0.576967,0.336248,0.336823
19.338264,1.773232,1.772993,0.651117,0.466501,0.357316
19.07901,1.860252,1.735952,0.670368,0.453783,0.439294
17.68041,1.944048,1.499138,0.558079,0.398294,0.286643
18.858839,1.385702,1.673679,0.668764,0.355011,0.364404
18.494009,1.894279,1.681765,0.574738,0.354267,0.33193
17.774986,1.809601,1.350666,0.469509,0.368835,0.215484
18.376585,2.102636,1.806612,0.605904,0.410616,0.349533
18.798054,1.399305,1.598942,0.722141,0.407125,0.432835
18.91807,1.715832,1.747366,0.599821,0.343357,0.348599
19.572996,1.996313,1.760799,0.771181,0.493797,0.470357
18.674706,1.975885,1.529816,0.620058,0.332388,0.292076
18.003843,1.935412,1.356632,0.563295,0.418755,0.274082
19.244493,1.732933,1.742252,0.629721,0.322964,0.390652
17.515703,1.999136,1.35807,0.485716,0.363108,0.211112
19.02371,1.921267,1.862816,0.683266,0.403635,0.416214
18.256092,1.844788,1.532166,0.536373,0.255018,0.29225
17.516844,2.194141,1.590708,0.539917,0.274673,0.2505
17.51206,2.060328,1.213934,0.502949,0.316818,0.185354
19.765879,1.732017,1.485657,0.746302,0.423075,0.430067
18.53491,1.490795,1.511972,0.567112,0.269701,0.262337
18.558384,1.547493,1.434717,0.624563,0.354025,0.274106
17.921831,2.123745,1.260384,0.502411,0.362116,0.187264
17.340702,1.987083,1.207487,0.449728,0.350605,0.186808
17.928698,1.716873,1.444563,0.601191,0.361053,0.289037
18.791656,2.053236,1.729845,0.717651,0.389292,0.396408
17.559641,2.069023,1.383524,0.57416,0.36109,0.219368
18.092443,2.000557,1.415178,0.509981,0.335672,0.228604
17.678484,1.924643,1.239313,0.491167,0.325212,0.180114
20.17016,1.261381,1.245998,0.770603,0.203102,0.514822
17.389214,2.119556,1.212339,0.503151,0.396564,0.149141
20.040241,1.439545,1.803085,0.786171,0.361441,0.50201
19.230392,1.731758,1.805016,0.756361,0.40448,0.444805
18.218967,1.570671,1.632381,0.611202,0.352985,0.314426
17.378069,1.459177,1.228371,0.509548,0.303328,0.279353
18.511677,1.438376,1.642302,0.581743,0.349308,0.307709
19.054073,2.148128,1.548468,0.730595,0.435133,0.472045
18.425779,1.682377,1.707882,0.60062,0.384676,0.350907
18.432648,1.982098,1.568136,0.548841,0.372429,0.288421
17.925665,1.455229,1.442148,0.555271,0.370657,0.250348
18.893917,1.379038,1.808266,0.618353,0.331791,0.343443
18.841642,1.380493,1.767023,0.639103,0.446306,0.38458
19.518379,1.657021,1.851362,0.648813,0.3641,0.369339
19.199966,1.136826,1.6399,0.663345,0.401524,0.384781
19.151482,1.637566,1.808161,0.634876,0.411831,0.341959
19.081505,1.988764,1.731749,0.577053,0.332651,0.375254
19.209177,2.082207,1.774595,0.658976,0.384558,0.393587
20.338552,1.329205,1.742121,0.770926,0.492437,0.4512
18.806957,2.107489,1.519978,0.682001,0.450092,0.402724
18.542427,2.033752,1.51469,0.576773,0.318565,0.342064
19.094879,2.064215,1.653749,0.633026,0.434805,0.385723
18.521696,1.054312,1.856131,0.656281,0.343925,0.394282
17.728113,2.091991,1.493338,0.541245,0.371984,0.243852
19.969034,2.149912,1.607473,0.753117,0.373503,0.450505
18.601465,1.552017,1.403477,0.655651,0.414934,0.299981
19.707027,1.463064,1.740099,0.695526,0.369186,0.362935
